Product Name,Item ID,ID,Price,Old Price,URL
"Valgoma arbata DRINKEAT ""French strawberry""",35 g.,16584,4.39,5.49,https://www.supergarden.lt/lt/katalogas/valgoma-arbata-drinkeat-quot-french?item=16584
"Valgoma arbata DRINKEAT ""Wild mango""",36 g.,16583,4.39,5.49,https://www.supergarden.lt/lt/katalogas/valgoma-arbata-drinkeat-quot-wild-mango?item=16583
"Valgoma arbata DRINKEAT ""Black currants on Top""",32 g.,16585,4.39,5.49,https://www.supergarden.lt/lt/katalogas/valgoma-arbata-drinkeat-quot-black?item=16585
"Valgoma arbata DRINKEAT ""Fabulous kiwi""",27 g.,16587,4.39,5.49,https://www.supergarden.lt/lt/katalogas/valgoma-arbata-drinkeat-quot-fabulous?item=16587
"Valgoma arbata DRINKEAT ""Blackberries superpower""",27 g.,16582,4.39,5.49,https://www.supergarden.lt/lt/katalogas/valgoma-arbata-drinkeat-quot-blackberries?item=16582
"Valgoma arbata DRINKEAT ""Crazy apple""",29 g.,16586,4.39,5.49,https://www.supergarden.lt/lt/katalogas/valgoma-arbata-drinkeat-quot-crazy-apple?item=16586
"Džiovinta šaltyje tirpi kava ""Concerto""",65 g.,16595,3.59,4.49,https://www.supergarden.lt/lt/katalogas/dziovinta-saltyje-tirpi-kava-quot?item=16595
KAKĖ MAKĖ džiovintų šaltyje miško uogų valgoma arbata,30 g.,16615,4.89,6.99,https://www.supergarden.lt/lt/katalogas/kake-make-dziovintu-saltyje-misko-uogu?item=16615
KAKĖ MAKĖ raudonųjų uogų valgoma arbata,38 g.,16616,4.89,6.99,https://www.supergarden.lt/lt/katalogas/kake-make-raudonuju-uogu-valgoma-arbata?item=16616
"Džiovinta šaltyje tirpi kava ""Benita""",65 g.,16596,3.59,4.49,https://www.supergarden.lt/lt/katalogas/dziovinta-saltyje-tirpi-kava-quot-benita?item=16596
"Kavos rinkinys ""Labas Rytas""",1 vnt.,16948,9.59,11.99,https://www.supergarden.lt/lt/katalogas/kavos-rinkinys-quot-labas-rytas-quot?item=16948
"Ledų kokteilių rinkinys ""Summer""",1 vnt.,17097,14.99,14.99,https://www.supergarden.lt/lt/katalogas/ledu-kokteiliu-rinkinys-quot-summer-quot?item=17097
"Super Garden rinkinys ""Tropiniai skoniai""",1 vnt.,16410,23.99,23.99,https://www.supergarden.lt/lt/katalogas/super-garden-rinkinys-quot-tropiniai?item=16410
Mystery dėžutė,1 vnt.,17197,4.45,4.45,https://www.supergarden.lt/lt/katalogas/supergarden-mystery-dezute-5-mystery?item=17197
Džiovinti šaltyje ananasai,35 g.,16191,4.99,4.99,https://www.supergarden.lt/lt/katalogas/dziovinti-saltyje-ananasai?item=16191
Džiovinti šaltyje ananasai,100 g,16193,12.99,12.99,https://www.supergarden.lt/lt/katalogas/dziovinti-saltyje-ananasai?item=16193
Džiovinti šaltyje ananasai,300 g.,16928,39.99,39.99,https://www.supergarden.lt/lt/katalogas/dziovinti-saltyje-ananasai?item=16928
Džiovinti šaltyje ananasai,1 kg.,16276,119.99,119.99,https://www.supergarden.lt/lt/katalogas/dziovinti-saltyje-ananasai?item=16276
Džiovinti šaltyje bananai,37 g.,16203,4.69,4.69,https://www.supergarden.lt/lt/katalogas/dziovinti-saltyje-bananai?item=16203
Džiovinti šaltyje bananai,100 g.,16205,12.99,12.99,https://www.supergarden.lt/lt/katalogas/dziovinti-saltyje-bananai?item=16205
Džiovinti šaltyje bananai,300 g.,16965,39.99,39.99,https://www.supergarden.lt/lt/katalogas/dziovinti-saltyje-bananai?item=16965
Džiovinti šaltyje bananai,1 kg.,16283,119.99,119.99,https://www.supergarden.lt/lt/katalogas/dziovinti-saltyje-bananai?item=16283
Džiovintas šaltyje arbūzas,25 g.,16863,5.99,5.99,https://www.supergarden.lt/lt/katalogas/dziovintas-saltyje-arbuzas?item=16863
Džiovinti šaltyje apelsinų gabaliukai,18 g.,16624,3.49,3.49,https://www.supergarden.lt/lt/katalogas/dziovinti-saltyje-apelsinu-gabaliukai?item=16624
Džiovinti šaltyje mandarinų gabaliukai,14 g.,16625,3.49,3.49,https://www.supergarden.lt/lt/katalogas/dziovinti-saltyje-mandarinu-gabaliukai?item=16625
Džiovinti šaltyje abrikosų gabaliukai,20 g.,16324,3.49,3.49,https://www.supergarden.lt/lt/katalogas/dziovinti-saltyje-abrikosu-gabaliukai?item=16324
Džiovinti šaltyje abrikosų gabaliukai,1 kg.,16325,119.19,119.19,https://www.supergarden.lt/lt/katalogas/dziovinti-saltyje-abrikosu-gabaliukai?item=16325
Džiovinti šaltyje melionai,20 g.,16737,3.99,3.99,https://www.supergarden.lt/lt/katalogas/dziovinti-saltyje-melionai?item=16737
Džiovinta šaltyje citrina,18 g.,16626,3.49,3.49,https://www.supergarden.lt/lt/katalogas/dziovinta-saltyje-citrina?item=16626
Džiovinti šaltyje mangai,32 g.,16194,3.42,4.89,https://www.supergarden.lt/lt/katalogas/dziovinti-saltyje-mangai?item=16194
